Genome,X,Y,Cluster
079SnemCPCC101271T,0.217401115645763,0.1550704313439516,1
097SrhiJC1,0.18342823295456065,0.1258847310298494,1
095SrhiIS26,0.33670661392459633,0.07234670409227985,1
SaraA5588,0.14079578564148942,0.181793195495884,1
Spigmentata610A2,0.3133506178216956,-0.05940174445893433,4
101SrhiBIGb0145,0.32307633990071644,0.049721029028601746,1
074SmalSM_866,-0.09038234217519625,-0.056437388325095594,3
087SpenSa5BUN4T,0.18879551351149756,0.09345781104007306,1
103SsepSM16975T,-0.09042703799158659,-0.04856056833736267,3
109ICU_D3_102,-0.07807193960149723,-0.08195790465661797,3
105SsepSMYL93,-0.09515998513345868,-0.05374243539216284,3
091SrhiSR80,0.1294076843204572,0.16792897094570572,1
107SterDSM18941T,0.39176757148618635,-0.17766215510102878,4
111UCE_D5_37,-0.08311173441103153,-0.049224407477809914,3
093SrhiCFBP13529,0.28672213982121525,0.19353881642092013,1
119UCE_D6_43,-0.12415938547805641,-0.06320214037179689,3
125GM_D5_149,-0.10985092797200036,-0.06990603946800249,3
123UCE_D6_155,-0.11151858347209923,-0.08426588878493538,3
121ICU_D4_210,-0.08477161612934235,-0.09751652626646737,3
113ICU_New_95,-0.0893018294643316,-0.08541099279162333,3
133XmalLMG27592T,0.022910313577192844,0.4409020294657316,2
117GM_D3_189,-0.11518997549294606,-0.05377666881477873,3
115ICU_New_296,-0.08930182946433161,-0.08541099279162336,3
129ICU_D4_90,-0.08333106744521712,-0.04743046465799041,3
127H_D3_146,-0.08333106744521714,-0.04743046465799041,3
131PhibATCC19867T,-0.07031582267151322,-0.0031929302736954063,3
078SmurSMYL13_,-0.1407523615608089,-0.05781669923989934,3
SoahA5586,0.24928701126165073,0.03500697099462899,1
